epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6343,1.21631,2.77121,1.55011,0.2992,0.39609,0.26966,0.10773,1.75059,2.55345,2.14749,0.000368709,0.000368709,0.000368709
1,101.285,0.87958,3.59402,1.28256,0.03819,0.6073,0.07466,0.03996,1.27879,3.50298,1.55401,0.0700659,0.00332601,0.00332601
2,197.926,0.88575,2.70875,1.32169,0.04092,0.07505,0.03089,0.0151,1.52798,15.9863,1.82922,0.0398462,0.00643958,0.00643958
3,292.47,1.07234,2.65491,1.47047,0.00392,0.01176,0.00217,0.00074,2.05059,4.93853,2.35304,0.00940642,0.00933316,0.00933316
4,387.518,1.28994,3.10538,1.66487,0.00909,0.03044,0.00541,0.00182,2.20721,5.41994,2.5038,0.00901,0.00901,0.00901
5,482.593,1.53809,3.56433,2.31339,0.02009,0.06859,0.01476,0.0067,2.43171,4.57977,3.16837,0.00868,0.00868,0.00868
6,578.091,1.39361,3.95956,1.91802,0.44782,0.06276,0.04752,0.02624,1.7458,4.35323,2.31221,0.00835,0.00835,0.00835
7,673.259,1.40207,3.87342,2.13013,0.8529,0.06838,0.1053,0.06786,1.91354,3.7703,2.76848,0.00802,0.00802,0.00802
8,776.348,1.42762,3.47379,2.14956,0.2704,0.0637,0.05209,0.03575,1.97183,4.4654,2.66339,0.00769,0.00769,0.00769
9,872.909,1.36847,3.44759,1.74778,0.02712,0.17309,0.03114,0.01628,1.64255,4.14759,2.071,0.00736,0.00736,0.00736
10,977.43,1.25937,3.51702,1.76345,0.87636,0.07916,0.09202,0.05386,1.62726,3.50523,2.11623,0.00703,0.00703,0.00703
11,1075.15,1.26668,3.55873,2.01269,0.04778,0.54323,0.09431,0.05415,1.65763,3.69365,2.64093,0.0067,0.0067,0.0067
12,1170.18,1.21392,4.38108,1.9651,0.04118,0.68652,0.16663,0.10434,1.54308,3.34292,2.4874,0.00637,0.00637,0.00637
13,1265.57,1.26101,3.91491,1.98638,0.48952,0.26373,0.13155,0.06906,1.6461,3.47366,2.69262,0.00604,0.00604,0.00604
14,1361.41,1.23863,4.08126,1.96343,0.54189,0.21637,0.11755,0.06864,1.57715,3.3345,2.55669,0.00571,0.00571,0.00571
15,1469.2,1.21423,3.88965,1.94686,0.35509,0.29571,0.14929,0.09214,1.42631,3.3365,2.30351,0.00538,0.00538,0.00538
16,1566.26,1.20375,3.69883,1.90797,0.50134,0.27729,0.13872,0.08502,1.375,2.7973,2.34715,0.00505,0.00505,0.00505
17,1662.48,1.12196,3.49777,1.83176,0.16191,0.32112,0.1458,0.08983,1.42008,2.91492,2.36652,0.00472,0.00472,0.00472
18,1758.45,1.10508,3.42322,1.81124,0.16321,0.39758,0.14917,0.09684,1.32819,2.78285,2.1918,0.00439,0.00439,0.00439
19,1854.1,1.05222,3.39402,1.74843,0.17124,0.45738,0.1485,0.0965,1.28581,2.69698,2.15929,0.00406,0.00406,0.00406
20,1949.99,1.05766,3.37462,1.76786,0.17573,0.48244,0.16371,0.10279,1.22897,2.73746,2.03234,0.00373,0.00373,0.00373
21,2045.64,1.02994,3.38925,1.71371,0.15965,0.53746,0.16908,0.10759,1.23646,2.80502,2.0386,0.0034,0.0034,0.0034
22,2142.23,1.00054,3.40823,1.69249,0.15761,0.55189,0.17886,0.11285,1.23768,2.88938,2.0285,0.00307,0.00307,0.00307
23,2238.91,0.97734,3.38904,1.66582,0.15055,0.58978,0.17764,0.11974,1.11003,2.90812,1.85341,0.00274,0.00274,0.00274
24,2335.16,0.96224,3.07492,1.63029,0.17604,0.53789,0.18843,0.12308,1.15357,2.50914,1.88923,0.00241,0.00241,0.00241
25,2431.97,0.92499,2.88141,1.59684,0.21593,0.53748,0.21684,0.14555,1.08504,2.48025,1.80943,0.00208,0.00208,0.00208
26,2527.15,0.89577,2.83672,1.56363,0.20748,0.59105,0.22981,0.15359,1.07861,2.46938,1.79864,0.00175,0.00175,0.00175
27,2622.29,0.86426,2.70881,1.52531,0.21064,0.61331,0.25367,0.17088,1.04981,2.49521,1.77897,0.00142,0.00142,0.00142
28,2718.52,0.83752,2.59354,1.4889,0.22169,0.6027,0.25845,0.17531,1.0431,2.48682,1.76839,0.00109,0.00109,0.00109
29,2814.7,0.82323,2.4285,1.47401,0.22756,0.59142,0.26303,0.17954,1.02325,2.61464,1.75274,0.00076,0.00076,0.00076
30,2911.21,0.80085,2.33275,1.45529,0.21806,0.5823,0.25397,0.17148,1.00984,2.62564,1.73262,0.00043,0.00043,0.00043
1,27.573,0.97131,7.14592,1.23343,0.84923,0.08806,0.0723,0.03835,1.5777,4.1501,1.85233,0.0701316,0.00331871,0.00331871
2,52.8147,1.01842,6.63955,1.2635,0.84029,0.0829,0.04477,0.01901,2.03535,3.32834,2.20037,0.040091,0.00661151,0.00661151
3,76.8035,1.18692,5.08566,1.40165,0.61464,0.03722,0.01656,0.00545,2.18592,4.11147,2.48979,0.00988966,0.00974346,0.00974346
4,106.707,1.40445,4.51585,1.57616,0.62903,0.05527,0.02946,0.01234,2.45351,3.59653,2.91927,0.00946048,0.00946048,0.00946048
5,136.447,1.30712,4.32029,1.53194,0.80746,0.09602,0.02941,0.01139,2.32311,3.92284,2.79116,0.00905463,0.00905463,0.00905463
6,161.458,1.33718,5.68385,1.56033,0.84361,0.0687,0.05932,0.02971,2.04065,3.01743,2.12132,0.00855018,0.00855018,0.00855018
1,17.1204,1.06653,11.5685,1.24456,0.83523,0.09696,0.05373,0.01992,2.35242,22.1822,2.45384,0.0107895,0.00991228,0.00991228
2,33.0973,1.32862,10.1102,1.4184,0.63526,0.17856,0.06642,0.02681,2.06948,19.1858,2.17409,0.00934,0.00934,0.00934
3,49.7546,1.37183,10.4453,1.45525,0.84518,0.08993,0.05744,0.02532,2.28481,14.5997,2.55029,0.00868,0.00868,0.00868
4,65.7068,1.32223,11.3078,1.43393,0.65132,0.17609,0.08806,0.04117,2.03502,3.23956,2.01726,0.00802,0.00802,0.00802
5,81.538,1.25929,9.43709,1.3928,0.26547,0.11662,0.05946,0.02617,2.11869,3.16689,2.10635,0.00736,0.00736,0.00736
6,97.3917,1.26775,9.34355,1.39508,0.48164,0.25155,0.08916,0.04097,1.85825,3.05268,1.91869,0.0067,0.0067,0.0067
7,113.337,1.22041,6.97891,1.36571,0.45302,0.21783,0.06403,0.0297,2.15233,3.28907,2.28244,0.00604,0.00604,0.00604
8,129.157,1.1782,6.40958,1.34465,0.31221,0.40358,0.10326,0.05283,1.71122,2.90414,1.71635,0.00538,0.00538,0.00538
9,145.57,1.15783,6.13057,1.33473,0.30758,0.42535,0.10648,0.06391,1.5448,2.78498,1.52476,0.00472,0.00472,0.00472
10,162.125,1.09823,5.68748,1.3028,0.12515,0.43342,0.12202,0.07824,1.4453,2.5362,1.4575,0.00406,0.00406,0.00406
11,178.039,1.07495,5.32418,1.2709,0.13155,0.45751,0.16137,0.10127,1.34427,2.28222,1.32783,0.0034,0.0034,0.0034
12,194.045,1.0531,5.20941,1.25974,0.1914,0.49837,0.17317,0.11326,1.20216,2.15184,1.21949,0.00274,0.00274,0.00274
13,210.074,1.01448,5.15312,1.234,0.19321,0.54269,0.18223,0.12034,1.1102,2.08623,1.15644,0.00208,0.00208,0.00208
14,225.851,0.98141,4.7886,1.20669,0.19745,0.56486,0.19479,0.12978,1.09004,2.00977,1.13983,0.00142,0.00142,0.00142
15,242.097,0.93478,4.78064,1.18721,0.18514,0.59951,0.20487,0.13515,1.05096,1.96575,1.11549,0.00076,0.00076,0.00076
