epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8579,1.07704,2.59776,1.37698,0.47891,0.42932,0.42803,0.30178,1.08944,2.05105,1.31976,0.000368709,0.000368709,0.000368709
2,89.2932,1.15396,2.1317,1.42613,0.49,0.40394,0.40537,0.27524,1.23912,2.19835,1.40689,0.000665877,0.000665877,0.000665877
3,125.114,1.18331,1.94815,1.45015,0.50887,0.40147,0.41502,0.26238,1.31612,2.1382,1.49334,0.000889719,0.000889719,0.000889719
4,159.803,1.12532,1.73417,1.39873,0.66443,0.54076,0.60276,0.42883,1.08174,1.47248,1.28507,0.000781033,0.000781033,0.000781033
5,196.317,1.05258,1.52175,1.34913,0.71856,0.5646,0.64761,0.48033,1.02721,1.31138,1.22194,0.000671044,0.000671044,0.000671044
6,231.493,0.97759,1.36813,1.30107,0.74107,0.59425,0.68236,0.49662,0.99997,1.25027,1.19035,0.000561055,0.000561055,0.000561055
7,265.801,0.93446,1.24014,1.26398,0.76903,0.61828,0.70566,0.528,0.95657,1.18314,1.17038,0.000451066,0.000451066,0.000451066
8,300.704,0.8904,1.14264,1.23086,0.77667,0.69867,0.76124,0.5787,0.8997,1.00785,1.11978,0.000341077,0.000341077,0.000341077
9,334.553,0.84519,1.04902,1.2028,0.76014,0.72401,0.77895,0.60598,0.84324,0.95476,1.07774,0.000231088,0.000231088,0.000231088
10,370.843,0.78856,0.94939,1.16486,0.80121,0.70627,0.79747,0.62279,0.81789,0.90386,1.0588,0.000121099,0.000121099,0.000121099
